audio,text,description
/home/jupyter-koustav/fine_tuning/test_1/18080893208509673354.wav,current senator and argentine first lady cristina fernandez de kirchner announced her presidential candidacy yesterday evening in la plata a city 50 kilometers 31 miles away from buenos aires,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13230261475791184258.wav,the governor's office said nineteen of the injured were police officers,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/12164368102080603077.wav,the governor's office said nineteen of the injured were police officers,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5106380017322065030.wav,however that is not true although there is something written on the back of the document it is not a treasure map,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1618638950277648344.wav,however that is not true although there is something written on the back of the document it is not a treasure map,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10492135991603561867.wav,in some areas boiling water for a minute is enough in others several minutes are needed,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2254021119996292300.wav,in some areas boiling water for a minute is enough in others several minutes are needed,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6817878979697223927.wav,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10052240106321793346.wav,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10197164397713068203.wav,the cabbage juice changes color depending on how acidic or basic alkaline the chemical is,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13006273800980159403.wav,the cabbage juice changes color depending on how acidic or basic alkaline the chemical is,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1218355507714944126.wav,in its early days the show was featured solely at the long-running internet radio site toginet radio a site focused on talk radio,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5606750157981126233.wav,in its early days the show was featured solely at the long-running internet radio site toginet radio a site focused on talk radio,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/283614893570272908.wav,four skiers in the women's sitting group failed to finish their runs and 45 of the 117 total skiers in the giant slalom failed to rank in the race,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4498797456222901763.wav,four skiers in the women's sitting group failed to finish their runs and 45 of the 117 total skiers in the giant slalom failed to rank in the race,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4496786334735634498.wav,"apia is the capital of samoa the town is on the island of upolu and has a population of just under 40,000",A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/9431561488681290113.wav,"apia is the capital of samoa the town is on the island of upolu and has a population of just under 40,000",A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5505398583576174352.wav,perry stated that he would return to texas to assess the results of tonight's caucus determine whether there is a path forward for myself in this race but later said that he would remain in the race and compete in the january 21 south carolina primary,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2467414061703477879.wav,perry stated that he would return to texas to assess the results of tonight's caucus determine whether there is a path forward for myself in this race but later said that he would remain in the race and compete in the january 21 south carolina primary,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6917907748364342404.wav,he did not set a figure for the cuts saying they will be made based on china's economic output,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8546403500877190903.wav,he did not set a figure for the cuts saying they will be made based on china's economic output,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16851035292487940942.wav,after the dam was built in 1963 the seasonal floods that would spread sediment throughout the river were halted,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1633905380187706594.wav,after the dam was built in 1963 the seasonal floods that would spread sediment throughout the river were halted,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6852813781354643345.wav,its long jaws were studded with more than 70 razor-sharp teeth along with an extra set in the roof of its mouth meaning that there was no escape for anything that crossed its path,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3585583328394597156.wav,its long jaws were studded with more than 70 razor-sharp teeth along with an extra set in the roof of its mouth meaning that there was no escape for anything that crossed its path,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/11536232800365538941.wav,the sundarbans are the largest littoral mangrove belt in the world stretching 80 km 50 mi into the bangladeshi and indian hinterland from the coast,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/11593450817032542587.wav,the sundarbans are the largest littoral mangrove belt in the world stretching 80 km 50 mi into the bangladeshi and indian hinterland from the coast,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3927163358777802368.wav,researchers from princeton university in the united states and uppsala university in sweden reported the new species evolved in just two generations though this process had been believed to take much longer due to breeding between an endemic darwin finch geospiza fortes and the immigrant cactus finch geospiza conirostris,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16824485789160047135.wav,australia's mitchell gourley finished eleventh in the men's standing super-g czech competitor oldrich jelinek finished sixteenth in the men's sitting super-g,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/14993919225529607964.wav,australia's mitchell gourley finished eleventh in the men's standing super-g czech competitor oldrich jelinek finished sixteenth in the men's sitting super-g,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/11705046490861852963.wav,first most riders wear riding boots with a heel and a smooth quite narrow sole,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/559615000143317446.wav,first most riders wear riding boots with a heel and a smooth quite narrow sole,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/18320871674783850842.wav,hong kong island gives the territory of hong kong its name and is the place that many tourists regard as the main focus,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5907599423488165658.wav,hong kong island gives the territory of hong kong its name and is the place that many tourists regard as the main focus,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3502277023574363012.wav,prides are made up of one to three related adult males along with as many as thirty females and cubs,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15592925372393530543.wav,prides are made up of one to three related adult males along with as many as thirty females and cubs,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/17087438879836851456.wav,layton had asked for changes to the conservatives' environmental bill during the meeting with the pm asking for a thorough and complete rewriting of the conservative party's environmental bill,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6507390080013738113.wav,layton had asked for changes to the conservatives' environmental bill during the meeting with the pm asking for a thorough and complete rewriting of the conservative party's environmental bill,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1605300975319497622.wav,vatican city's population is around 800 it is the smallest independent country in the world and the country with the lowest population,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/11265842188315045636.wav,vatican city's population is around 800 it is the smallest independent country in the world and the country with the lowest population,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/7587276269543309929.wav,in the warm climate of the middle east the house was not so important,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4838660681321542582.wav,in the warm climate of the middle east the house was not so important,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8324220666349639753.wav,this seems sensible because the earth doesn't feel as if it's moving does it,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3529855487992513201.wav,this seems sensible because the earth doesn't feel as if it's moving does it,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5407053594615190090.wav,ancient china had a unique way of showing different time periods each stage of china or each family that was in power was a distinctive dynasty,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/7366992441583559574.wav,ancient china had a unique way of showing different time periods each stage of china or each family that was in power was a distinctive dynasty,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10861831846737909528.wav,in the north the region is bounded by the sahel and in the south and west by the atlantic ocean,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6656552880161745727.wav,in the north the region is bounded by the sahel and in the south and west by the atlantic ocean,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8268356342449509719.wav,duvall who is married with two adult children did not leave a big impression on miller to whom the story was related,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/17737260257548671107.wav,duvall who is married with two adult children did not leave a big impression on miller to whom the story was related,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6354316372780583820.wav,although ai has a strong connotation of science fiction ai forms a very important branch of computer science dealing with behavior learning and intelligent adaptation in a machine,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/7053482366261158.wav,although ai has a strong connotation of science fiction ai forms a very important branch of computer science dealing with behavior learning and intelligent adaptation in a machine,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5433314566767233828.wav,after the accident occurred gibson was transported to a hospital but died shortly afterwards,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2786302614981736925.wav,people now write messages on computer screens never having to come close to a sharpener,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2381187994276969930.wav,people now write messages on computer screens never having to come close to a sharpener,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/12381237049043414166.wav,muhammad was deeply interested in matters beyond this mundane life. he used to frequent a cave that became known as  hira‘” on the mountain of  noor” light for contemplation,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1876924768395363851.wav,muhammad was deeply interested in matters beyond this mundane life. he used to frequent a cave that became known as  hira‘” on the mountain of  noor” light for contemplation,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5657427923960079748.wav,some people thought he was right but many people believed the opposite; that the solar system moved around the earth including the sun and even the other stars,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/837008417921522673.wav,some people thought he was right but many people believed the opposite; that the solar system moved around the earth including the sun and even the other stars,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1944915261206096046.wav,swirl the two dry powders together and then with clean wet hands squeeze them into a ball,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13031516147694203229.wav,swirl the two dry powders together and then with clean wet hands squeeze them into a ball,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/14076834086577911298.wav,when all available resources are effectively used across the functional departments of an organization creativity and ingenuity can transpire,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13130060533227294993.wav,the moisture on your hands will react with the outer layers which will feel funny and form a sort of shell,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/11987168412167267165.wav,the moisture on your hands will react with the outer layers which will feel funny and form a sort of shell,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15667010054869079797.wav,during this period of european history the catholic church which had become rich and powerful came under scrutiny,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1116401173651214130.wav,during this period of european history the catholic church which had become rich and powerful came under scrutiny,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/17257800930548614745.wav,in the archipelagos and lakes you do not necessarily need a yacht,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/7546471028199266685.wav,in the archipelagos and lakes you do not necessarily need a yacht,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3362263413020550013.wav,in particular it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13029464143980259888.wav,in particular it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/7489324500816890474.wav,during the struggle for independence organised by the mau movement a peaceful gathering in the town resulted in the killing of the paramount chief tupua tamasese lealofi iii,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2642023010607031328.wav,during the struggle for independence organised by the mau movement a peaceful gathering in the town resulted in the killing of the paramount chief tupua tamasese lealofi iii,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10323357556845456822.wav,the northern marianas emergency management office said that there were no damages reported in the nation,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8491962032427728850.wav,the northern marianas emergency management office said that there were no damages reported in the nation,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/221216034074176262.wav,segregation and recombination shuffle variation back and forth between the two pools with each generation,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13888599635337906526.wav,segregation and recombination shuffle variation back and forth between the two pools with each generation,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4103166808026076685.wav,he added that they should not however be asked to take on obligations that go beyond their development stage responsibility and capabilities,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/14805661830607478688.wav,he added that they should not however be asked to take on obligations that go beyond their development stage responsibility and capabilities,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8395660467583137383.wav,regional and seasonal severe weather phenomena include blizzards snowstorms ice storms and dust storms,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8582392026322819617.wav,regional and seasonal severe weather phenomena include blizzards snowstorms ice storms and dust storms,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/8398257681626621326.wav,dr malar balasubramanian 29 was found in blue ash ohio a suburb approximately 15 miles north of cincinnati lying on the ground beside the road in a t-shirt and underwear in an apparently heavily medicated state,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2880067776280655708.wav,dr malar balasubramanian 29 was found in blue ash ohio a suburb approximately 15 miles north of cincinnati lying on the ground beside the road in a t-shirt and underwear in an apparently heavily medicated state,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4446007980468141561.wav,while this is often only an inaccurate stereotype the best way to get along in paris still is to be on your best behavior acting like someone who is bien élevé well brought up. it will make getting about considerably easier,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2347162438493420663.wav,while this is often only an inaccurate stereotype the best way to get along in paris still is to be on your best behavior acting like someone who is bien élevé well brought up. it will make getting about considerably easier,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3562415917464695718.wav,the smaller the rossby number the less active the star with respect to magnetic reversals,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/12356293452530186109.wav,everyone participates in society and uses transportation systems almost everyone complains about transportation systems,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15505806025419963341.wav,everyone participates in society and uses transportation systems almost everyone complains about transportation systems,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15228527404193944906.wav,it is thinner under the maria and thicker under the highlands,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16725549094651424150.wav,it is thinner under the maria and thicker under the highlands,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1042003289011443756.wav,the internet combines elements of both mass and interpersonal communication,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/5536399024273287176.wav,the internet combines elements of both mass and interpersonal communication,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/6745531990699497785.wav,he was subsequently relocated to addenbrooke's hospital in cambridge,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10899527843662463911.wav,he was subsequently relocated to addenbrooke's hospital in cambridge,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13542330409815692480.wav,we agree with the usoc's statement that the interests of our athletes and clubs and their sport may be better served by moving forward with meaningful change within our organization rather than decertification,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1727490782035998315.wav,no tsunami warning has been issued and according to the jakarta geophysics agency no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/7610837418342439800.wav,no tsunami warning has been issued and according to the jakarta geophysics agency no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/9817077029864554533.wav,people have known about basic chemical elements such as gold silver and copper from antiquity as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16010170383637871536.wav,people have known about basic chemical elements such as gold silver and copper from antiquity as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4821372520807131.wav,ironing damp clothes can help them dry many hotels have an iron and ironing board available for loan even if one is not present in the room,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4780196329895653733.wav,ironing damp clothes can help them dry many hotels have an iron and ironing board available for loan even if one is not present in the room,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/10536763405165824117.wav,as a result two fish species have become extinct and two others have become endangered including the humpback chub,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/11060294228176938598.wav,as a result two fish species have become extinct and two others have become endangered including the humpback chub,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/17656538893065595043.wav,the three kingdoms was one of the bloodiest eras in ancient china's history thousands of people died fighting to sit in the highest seat in the grand palace at xi'an,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2479496904141533095.wav,the three kingdoms was one of the bloodiest eras in ancient china's history thousands of people died fighting to sit in the highest seat in the grand palace at xi'an,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/13070914954918539330.wav,the composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy ftir,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/1770419804458122000.wav,the composition of these crystals matches those found in the urine of affected pets when compared by infrared spectroscopy ftir,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/15622589675144910207.wav,the great pyramid at giza is the only one of the seven wonders that is still standing today,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/16234809612157196531.wav,the great pyramid at giza is the only one of the seven wonders that is still standing today,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/4491697341889976683.wav,if you're not used to driving on country roads keep your wits about you steep grades narrow lanes and sharp curves predominate,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/2258483735861631299.wav,if you're not used to driving on country roads keep your wits about you steep grades narrow lanes and sharp curves predominate,A male speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/17382227205265930996.wav,accepted were aristotle's views on all matters of science including psychology,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3702958695101050591.wav,accepted were aristotle's views on all matters of science including psychology,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
/home/jupyter-koustav/fine_tuning/test_1/3306779845046917300.wav,del potro had the early advantage in the second set but this too required a tie break after reaching 6-6,A female speaker speaks clearly in English with a natural tone and moderate pace in a quiet environment.
